[༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_],༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_22_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_22_,རྒྱ་གར་སྐད་དུ། ཨཱ་ཪྻ་བྷ་ནཱ་ར་ཀ་མ་ཉྫུ་_11_,༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷཊྚཱ་ར་ཀ་མཉྫཱུ་_11_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷཏྟཱ་ར་ཀ་མཉྫཱ་_11_
[ཡུལ་_100_],ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_
[ལགས_100_],ལགས_100_,ལགས_100_,ལགས_100_,ལགས_100_,ལགས_100_,ལགས_100_,ལགས_100_,ལགས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[མགོན་_100_],མགོན་_100_,མགོན་_100_,མགོན་_100_,མགོན་_100_,མགོན་_100_,མགོན་_100_,མགོན་_100_,མགོན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[བསྟོད_100_],བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_
