[༄༅། །​_77_],༄༅། །​_77_,༄༅། །​_77_,༄༅། །​_77_,༄༅། །​_77_,།༄༅། །​_11_,༄༅། །​_77_,༄༅། །​_77_,པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་པ  །​  _11_
[འོས་_100_],འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སྡིག་_100_],སྡིག་_100_,སྡིག་_100_,སྡིག་_100_,སྡིག་_100_,སྡིག་_100_,སྡིག་_100_,སྡིག་_100_,སྡིག་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[ལྡོག་_100_],ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_,ལྡོག་_100_
