[༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_],༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅༅། །​_18_,༄༅༅། །​_18_,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_9_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ་བཞུགས་སོ། །​_9_,༄༅། །​ བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅། །​_9_,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།_9_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པདྨ་_100_],པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
བའི་_45_,བའི་_45_,བའི་_45_,བའི་_45_,[པའི་_54_],བའི་_45_,པའི་_54_,པའི་_54_,པའི་_54_,པའི་_54_,པའི་_54_
[འདབ་_100_],འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_
[འདྲའི་_100_],འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_
[སྤྱན་_100_],སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_
[མངའ་_100_],མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_
[བ_100_],བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བཀྲ་_100_],བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_
[ཤིས་_100_],ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_
[དེས་_100_],དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_,དེས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[སྐྱེ་_100_],སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_
[དགུ་_100_],དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_,དགུ་_100_
[ཞི་_100_],ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_,ཞི་_100_
