[༄༅། །​༄༅༅། །​_50_],༄༅། །​༄༅༅། །​_50_,༄༅། །​༄༅༅། །​_50_,༄༅། །​༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅༅། །​_25_,༄༅། །​_12_,ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།_12_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[བསྒྲིམས་_100_],བསྒྲིམས་_100_,བསྒྲིམས་_100_,བསྒྲིམས་_100_,བསྒྲིམས་_100_,བསྒྲིམས་_100_,བསྒྲིམས་_100_,བསྒྲིམས་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[ཉོན_100_],ཉོན_100_,ཉོན_100_,ཉོན_100_,ཉོན_100_,ཉོན_100_,ཉོན_100_,ཉོན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པདྨ་_100_],པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_,པདྨ་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[པའི་_75_],པའི་_75_,པ་_25_,པ་_25_,པའི་_75_,པའི་_75_,པའི་_75_,པའི་_75_
[འདབ་_100_],འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_,འདབ་_100_
[འདྲའི་_100_],འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_,འདྲའི་_100_
[སྤྱན་_100_],སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_,སྤྱན་_100_
[མངའ་_100_],མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_,མངའ་_100_
[བ_100_],བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གསེར་_100_],གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[མདོག་_100_],མདོག་_100_,མདོག་_100_,མདོག་_100_,མདོག་_100_,མདོག་_100_,མདོག་_100_,མདོག་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[འགྲོ་_100_],འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[རྩ་_100_],རྩ་_100_,རྩ་_100_,རྩ་_100_,རྩ་_100_,རྩ་_100_,རྩ་_100_,རྩ་_100_
[ལག་_100_],ལག་_100_,ལག་_100_,ལག་_100_,ལག་_100_,ལག་_100_,ལག་_100_,ལག་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[པུ་_100_],པུ་_100_,པུ་_100_,པུ་_100_,པུ་_100_,པུ་_100_,པུ་_100_,པུ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
