[༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_],༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅༅། །​_14_,༄༅༅། །​_14_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ།_7_,༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​ _7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​  _7_,༅༅། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_7_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_78_],། །​_78_,། །​སློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ལ་ཕྱག་འཚལ་ལོ།།_14_,། །​སློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ལ་ཕྱག་འཚལ་ལོ།།_14_,། །​_78_,། །​_78_,། །​_78_,། །​_78_,། །​ _7_,། །​_78_,། །​_78_,། །​_78_,། །​_78_,། །​_78_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_
[རྟེན་_92_],རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རེན་_7_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_,རྟེན་_92_
[ཅིང་_100_],ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_
[འབྲེལ་པར་_85_],འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབེལ་པར་_7_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་བར་_7_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_,འབྲེལ་པར་_85_
[འབྱུང་_100_],འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འགག་_100_],འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_,འགག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[སྐྱེ་_92_],སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སེ་_7_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_,སྐྱེ་_92_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། །​_92_],། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​ _7_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_
[ཆད་_100_],ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_,ཆད་_100_
