[༄༅། །​རྡོ་རྗེའི་སྨོན་ལམ།༄༅༅། །​_44_],༄༅། །​རྡོ་རྗེའི་སྨོན་ལམ།༄༅༅། །​_44_,༄༅། །​རྡོ་རྗེའི་སྨོན་ལམ།༄༅༅། །​_44_,༄༅། །​རྡོ་རྗེའི་སྨོན་ལམ།༄༅༅། །​_44_,༄༅༅། །​_44_,༄༅༅། །​_44_,_11_,༄༅༅། །​_44_,༄༅༅། །​_44_
[མཐར་_100_],མཐར་_100_,མཐར་_100_,མཐར་_100_,མཐར་_100_,མཐར་_100_,མཐར་_100_,མཐར་_100_,མཐར་_100_
[ཐུག་_100_],ཐུག་_100_,ཐུག་_100_,ཐུག་_100_,ཐུག་_100_,ཐུག་_100_,ཐུག་_100_,ཐུག་_100_,ཐུག་_100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_
[སྲིད་_100_],སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_
[པར_100_],པར_100_,པར_100_,པར_100_,པར_100_,པར_100_,པར_100_,པར_100_,པར_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[སྲིད་_100_],སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_
[སུའང་_100_],སུའང་_100_,སུའང་_100_,སུའང་_100_,སུའང་_100_,སུའང་_100_,སུའང་_100_,སུའང་_100_,སུའང་_100_
[རྟག་_100_],རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[བདག _100_],བདག _100_,བདག _100_,བདག _100_,བདག _100_,བདག _100_,བདག _100_,བདག _100_,བདག _100_
[།​_100_],།​_100_,།​_100_,།​_100_,།​_100_,།​_100_,།​_100_,།​_100_,།​_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_
