[༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_],༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅༅། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅༅། །​རྒྱ་_5_,༄༅༅། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིངས་ཡིག་བཞུགས་སོ། །​༄༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིང་ཡིགརྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​ཧྲི ད ལེ ཁ ནཱ མ བི ཧ ར ཏི སྨ། །​༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​ རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​༄༅༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིངས་ཡིགརྒྱ་_5_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཡོན་_100_],ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_
[ཏན་_100_],ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[དགེ་_100_],དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_
[འོས་_100_],འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_,འོས་_100_
