[༄༅། །​མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_44_],༄༅། །​མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_44_,༄༅། །​མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_44_,༄༅། །​མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_44_,༄༅༅། །​_33_,༄༅༅། །​_33_,༄༅༅། །​_33_,༄༅། །​_11_,_11_
[གིས་_77_],གིས་_77_,གི་_22_,གི་_22_,གིས་_77_,གིས་_77_,གིས་_77_,གིས་_77_,གིས་_77_
[བརྩེ་_100_],བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_,བརྩེ་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_
[བྲི་_100_],བྲི་_100_,བྲི་_100_,བྲི་_100_,བྲི་_100_,བྲི་_100_,བྲི་_100_,བྲི་_100_,བྲི་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_
[གྱིས་_77_],གྱིས་_77_,གྱི་_22_,གྱི་_22_,གྱིས་_77_,གྱིས་_77_,གྱིས་_77_,གྱིས་_77_,གྱིས་_77_
[བརྒལ་_100_],བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[དགག་_100_],དགག་_100_,དགག་_100_,དགག་_100_,དགག་_100_,དགག་_100_,དགག་_100_,དགག་_100_,དགག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[དེའི་_100_],དེའི་_100_,དེའི་_100_,དེའི་_100_,དེའི་_100_,དེའི་_100_,དེའི་_100_,དེའི་_100_,དེའི་_100_
[རྟོགས་_100_],རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཆོས་_100_],ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཁོ་_100_],ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[དོ_100_],དོ_100_,དོ_100_,དོ_100_,དོ_100_,དོ_100_,དོ_100_,དོ_100_,དོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_
[གྱིས་_100_],གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_
[བརྒལ་_100_],བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_,བརྒལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
