[༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_],༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏཱི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏཱི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅ །​ །​ །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏིཤཱསྔ་པྲཛྙཱ་དཎྜ་ནཱ་_10_,སློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད།༄༅། །​ རྒྱ་གར་སྐད་དུ། བྷི་ཏི་ཤཱསྦ་པྲཛྙཱ་དཎྜ་ན་_10_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜ་ནཱ་_10_,རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜ་ནཱ་_10_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[བུ་_100_],བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_
[གཅེས་_100_],གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[བསྲུངས་_100_],བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_,བསྲུངས་_100_
[ནས_70_],ནས_70_,ན_20_,ན_20_,ནས_70_,ནས_70_,ནསི_10_,ནས_70_,ནས_70_,ནས_70_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ས་_100_],ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[སྙོམས་_100_],སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_,སྙོམས་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པའི_90_],པའི_90_,པའི_90_,པའི_90_,པའི_90_,པའི_90_,པའི_90_,པའི_90_,པའི_90_,བའི_10_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[གཅེས་_100_],གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_
[པ་_70_],པ་_70_,པས་_20_,པས་_20_,པ་_70_,པ་_70_,པ་_70_,པར་_10_,པ་_70_,པ་_70_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[གཅེས་_100_],གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_
[འགྱུར_100_],འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_,འགྱུར_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཆུང་_100_],ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_,ཆུང་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ངན་_100_],ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[མཛའ་_80_],མཛའ་_80_,མཛའ་_80_,མཛའ་_80_,འཛའ་_20_,འཛའ་_20_,མཛའ་_80_,མཛའ་_80_,མཛའ་_80_,མཛའ་_80_
[བོ་_100_],བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_
[ངན_100_],ངན_100_,ངན_100_,ངན_100_,ངན_100_,ངན_100_,ངན_100_,ངན_100_,ངན_100_,ངན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ངན་_100_],ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ཉེ་_100_],ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_,ཉེ་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[ངན། །​_80_],ངན། །​_80_,ངན། །​_80_,ངན། །​_80_,ངན། །​_80_,ངན། །​_80_,ངན། །​_80_,ངན།_10_,ངན། །​_80_,དན། །​_10_
[ཁྱིམ་_100_],ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_,ཁྱིམ་_100_
[མཚེས་_100_],མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_,མཚེས་_100_
[ངན་_100_],ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ཡུལ་_100_],ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_
[ངན་_100_],ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_,ངན་_100_
[རྣམས_100_],རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_,རྣམས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཐག་_100_],ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_,ཐག་_100_
[རིང་_100_],རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
