[༄༅། །​བླ་ན་མེད་པའི་བསྟོད་པ།༄༅༅། །​_40_],༄༅། །​བླ་ན་མེད་པའི་བསྟོད་པ།༄༅༅། །​_40_,༄༅། །​བླ་ན་མེད་པའི་བསྟོད་པ།༄༅༅། །​_40_,༄༅། །​བླ་ན་མེད་པའི་བསྟོད་པ།༄༅༅། །​_40_,༅༅། །​_10_,༄༅༅། །​_40_,༄༅༅། །​_40_,༄༅༅། །​_40_,༄༅། །​_10_,༄༅༅། །​_40_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[བསྟོད_100_],བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_,བསྟོད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[མཁྱེན་_100_],མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[མཁྱེན་_100_],མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​ །​_10_,། །​_90_
