[༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_],༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅༅། །​_22_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅། །​_11_,༄༅༅། །​_22_,དགེ་བསྟན་འགྱུར།བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ། ༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄། །​གླེང་གཞི།༄༅༅། །​_11_,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ  །​   _11_
[སོ_100_],སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_,སོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ང་_100_],ང་_100_,ང་_100_,ང་_100_,ང་_100_,ང་_100_,ང་_100_,ང་_100_,ང་_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[གྱིས་_88_],གྱིས་_88_,གྱིས་_88_,གྱིས་_88_,གྱིས་_88_,གྱིས་_88_,གྱིས་_88_,གྱིས་_88_,ཀྱིས་_11_
[སམ་_100_],སམ་_100_,སམ་_100_,སམ་_100_,སམ་_100_,སམ་_100_,སམ་_100_,སམ་_100_,སམ་_100_
[གྲགས་_100_],གྲགས་_100_,གྲགས་_100_,གྲགས་_100_,གྲགས་_100_,གྲགས་_100_,གྲགས་_100_,གྲགས་_100_,གྲགས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[རྙེད_100_],རྙེད_100_,རྙེད_100_,རྙེད_100_,རྙེད_100_,རྙེད_100_,རྙེད_100_,རྙེད_100_,རྙེད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
