[༄༅། །​_60_],༄༅། །​_60_,༄༅། །​_60_,༄༅། །​_60_,༄༅། །​_60_,༄༅། །​_60_,༄༅།  །​_10_,༄༅། །​སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག༄༅། །​_10_,_10_,༆ _10_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[བྱུང་_100_],བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བད་_100_],བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_
[ཀན་_100_],ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[མཁྲིས་_100_],མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། དྲེག་_80_],། དྲེག་_80_,། དྲེག་_80_,། དྲེག་_80_,། དྲེག་_80_,། དྲེག་_80_,། དྲེག་_80_,།དྲེག་_10_,། དྲག་_10_,། དྲེག་_80_
[ནད་_100_],ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ད་_100_],ད་_100_,ད་_100_,ད་_100_,ད་_100_,ད་_100_,ད་_100_,ད་_100_,ད་_100_,ད་_100_
[སྒལ་_70_],སྒལ་_70_,རྒན་_20_,རྒན་_20_,སྒལ་_70_,སྒལ་_70_,སྒལ་_70_,སྒལ་”_10_,སྒལ་_70_,སྒལ་_70_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[རོ་_100_],རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_
[སྨད་_100_],སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_,སྨད་_100_
[མན་_100_],མན་_100_,མན་_100_,མན་_100_,མན་_100_,མན་_100_,མན་_100_,མན་_100_,མན་_100_,མན་_100_
