[༄༅། །​ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།༄༅༅། །​_50_],༄༅། །​ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།༄༅༅། །​_50_,༄༅། །​ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།༄༅༅། །​_50_,༄༅། །​ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅༅། །​_25_,_12_,༄༅། །​_12_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[འགྱུར་གྱི། _87_],འགྱུར་གྱི། _87_,འགྱུར་གྱི། _87_,འགྱུར་གྱི། _87_,འགྱུར་གྱི། _87_,འགྱུར་གྱི། _87_,འགྱུར་གྱི། _87_,གང་དག་གམ། – །​ །​འདི་སྙམ་དུ་_12_
[གཏན་_100_],གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_
[ཚིགས་_100_],ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[འགྲུབ་_100_],འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_,འགྲུབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_],འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོ། །​འདི་སྙམ་དུ་_87_,འགྱུར་རོའགྱུར་གྱི། །​ གཏན་_12_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[དོ་_100_],དོ་_100_,དོ་_100_,དོ་_100_,དོ་_100_,དོ་_100_,དོ་_100_,དོ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[དམ་_100_],དམ་_100_,དམ་_100_,དམ་_100_,དམ་_100_,དམ་_100_,དམ་_100_,དམ་_100_
[བཅའ་_100_],བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_,བཅའ་_100_
[བ་ནི། གཏན་ཚིགས་_87_],བ་ནི། གཏན་ཚིགས་_87_,བ་ནི། གཏན་ཚིགས་_87_,བ་ནི། གཏན་ཚིགས་_87_,བ་ནི། གཏན་ཚིགས་_87_,བ་ནི། གཏན་ཚིགས་_87_,བ་ནི། གཏན་ཚིགས་_87_,བ་ནིཚིགས་_12_
[ཁོ་_100_],ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_,ཁོ་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[མཚུངས་_100_],མཚུངས་_100_,མཚུངས་_100_,མཚུངས་_100_,མཚུངས་_100_,མཚུངས་_100_,མཚུངས་_100_,མཚུངས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[ཕྱིར་_100_],ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_
[རོ་_100_],རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[གཏན་_100_],གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_
[ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_],ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོ། །​དཔེ་གང་ཞེ་ན། བུམ་_87_,ཚིགས་སོབུམ་_12_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[སྣམ་_100_],སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_
[བུ་_100_],བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[ནོ_100_],ནོ_100_,ནོ_100_,ནོ_100_,ནོ_100_,ནོ_100_,ནོ_100_,ནོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[བུམ་_100_],བུམ་_100_,བུམ་_100_,བུམ་_100_,བུམ་_100_,བུམ་_100_,བུམ་_100_,བུམ་_100_
[པ་_87_],པ་_87_,པ་_87_,པ་_87_,པ་_87_,པ་_87_,པ་_87_,པ་དཔེ་གང་ཞེ་ན། ཡོད་པ་ཉིད་དུ་_12_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[སྣམ་_100_],སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_,སྣམ་_100_
[བུ་_100_],བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་ཀྱང་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _62_],ཅད་ཀྱང་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _62_,ཅད་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _25_,ཅད་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _25_,ཅད་ཀྱང་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _62_,ཅད་ཀྱང་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _62_,ཅད་ཀྱང་ཡོད་པ་ཉིད་དུ་མཚུངས་པར་འཇུག་སྟེ། _62_,ཅད་ཀྱང་_12_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ལྟ་_100_],ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[གྲུབ་_100_],གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_,གྲུབ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[འདོད་དོ་ཞེ་ན།སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_50_],འདོད་དོ་ཞེ་ན།སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_50_,འདོད་དོ་ཞེ་ན།སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_50_,འདོད་དོ་ཞེ་ན།སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_50_,འདོད་དོ་ཞེ་ན། སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_37_,འདོད་དོ་ཞེ་ན། སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_37_,འདོད་དོ་ཞེ་ན། སྨྲས་པ། དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོ། །​འདིར་_37_,མཚུངས་པར་འཇུག་སྟེ། །​ །​འདིར་དངོས་པོ་རྣམས་གཅིག་པ་མ་ཡིན་ནོའདོད་དོ་ཞེ་ན། སྨྲས་པ། _12_
[གཏན་_100_],གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_,གཏན་_100_
